Subject,Stim,Condition,StimSoundIn1.Filename,SubTrialList.Cycle,SubTrialList.Sample,SubTrialList,phonetic_cons,semantic_trans,frequency,correctRT,log_F(base10),PhonN,,
1,腐,phsl,behavioral_naming-1-1Stim-41.wav,1,1,1,consistent,opaque,168,574,2.225309282,3,,
1,映,plsl,behavioral_naming-1-1Stim-42.wav,1,2,2,inconsistent,opaque,845,580,2.926856709,8,,
1,湖,phsh,behavioral_naming-1-1Stim-43.wav,1,3,3,consistent,transparent,7481,510,3.873959655,8,,
1,腦,phsh,behavioral_naming-1-1Stim-44.wav,1,4,4,consistent,transparent,7703,439,3.886659898,3,,
1,嫁,phsh,behavioral_naming-1-1Stim-45.wav,1,5,5,consistent,transparent,1726,574,3.237040791,3,,
1,殲,plsh,behavioral_naming-1-1Stim-46.wav,1,6,6,inconsistent,transparent,249,945,2.396199347,5,,
1,棺,phsl,behavioral_naming-1-1Stim-47.wav,1,7,7,consistent,opaque,674,831,2.828659897,8,,
1,掠,plsl,behavioral_naming-1-1Stim-48.wav,1,8,8,inconsistent,opaque,302,941,2.480006943,6,,
1,晏,plsh,behavioral_naming-1-1Stim-49.wav,1,9,9,inconsistent,transparent,531,831,2.725094521,8,,
1,淹,phsh,behavioral_naming-1-1Stim-50.wav,1,10,10,consistent,transparent,3045,600,3.483587297,9,,
1,捷,phsl,behavioral_naming-1-1Stim-51.wav,1,11,11,consistent,opaque,5030,602,3.701567985,3,,
1,熬,phsh,behavioral_naming-1-1Stim-52.wav,1,12,12,consistent,transparent,614,651,2.788168371,10,,
1,殘,plsh,behavioral_naming-1-1Stim-53.wav,1,13,13,inconsistent,transparent,1398,622,3.145507171,10,,
1,潭,phsh,behavioral_naming-1-1Stim-54.wav,1,14,14,consistent,transparent,532,582,2.725911632,4,,
1,梗,plsl,behavioral_naming-1-1Stim-55.wav,1,15,15,inconsistent,opaque,103,591,2.012837225,6,,
1,符,phsl,behavioral_naming-1-1Stim-56.wav,1,16,16,consistent,opaque,3583,510,3.554246808,4,,
1,慢,phsh,behavioral_naming-1-1Stim-57.wav,1,17,17,consistent,transparent,13189,487,4.120211868,8,,
1,覓,plsh,behavioral_naming-1-1Stim-58.wav,1,18,18,inconsistent,transparent,2267,548,3.35545152,9,,
1,痣,phsh,behavioral_naming-1-1Stim-59.wav,1,19,19,consistent,transparent,184,520,2.264817823,3,,
1,灘,phsh,behavioral_naming-1-1Stim-61.wav,1,21,21,consistent,transparent,2952,599,3.470116353,3,,
