Subject,Stim,Condition,StimSoundIn1.Filename,SubTrialList.Cycle,SubTrialList.Sample,SubTrialList,phonetic_cons,semantic_trans,frequency,correctRT,accuracy,log_F.base10.,acc_rate,PhonN
7,稜,plsl,behavioral_naming-7-1Stim-91.wav,2,51,11,inconsistent,opaque,290,NaN,1,2.462397998,0.06875,5
7,弒,phsl,behavioral_naming-7-1Stim-92.wav,2,52,12,consistent,opaque,18,488,0,1.255272505,0.06875,3
7,搜,plsh,behavioral_naming-7-1Stim-93.wav,2,53,13,inconsistent,transparent,1203,416,0,3.080265627,0.06875,8
7,抵,phsh,behavioral_naming-7-1Stim-94.wav,2,54,14,consistent,transparent,38803,513,0,4.588865304,0.06875,11
7,檔,phsl,behavioral_naming-7-1Stim-95.wav,2,55,15,consistent,opaque,5505,554,0,3.740757323,0.06875,5
7,誤,plsl,behavioral_naming-7-1Stim-96.wav,2,56,16,inconsistent,opaque,4650,451,0,3.667452953,0.06875,3
7,氧,plsh,behavioral_naming-7-1Stim-97.wav,2,57,17,inconsistent,transparent,2301,469,0,3.361916619,0.06875,11
7,舵,plsl,behavioral_naming-7-1Stim-98.wav,2,58,18,inconsistent,opaque,279,1088,0,2.445604203,0.06875,9
7,概,plsl,behavioral_naming-7-1Stim-99.wav,2,59,19,inconsistent,opaque,1022,537,0,3.009450896,0.06875,4
7,脫,plsl,behavioral_naming-7-1Stim-100.wav,2,60,20,inconsistent,opaque,3579,544,0,3.553761698,0.06875,7
7,鯨,plsl,behavioral_naming-7-1Stim-101.wav,2,61,21,inconsistent,opaque,837,489,0,2.922725458,0.06875,6
7,糕,plsh,behavioral_naming-7-1Stim-102.wav,2,62,22,inconsistent,transparent,373,489,0,2.571708832,0.06875,3
7,喚,phsh,behavioral_naming-7-1Stim-103.wav,2,63,23,consistent,transparent,438,496,0,2.641474111,0.06875,5
7,搖,phsh,behavioral_naming-7-1Stim-104.wav,2,64,24,consistent,transparent,1431,445,0,3.155639634,0.06875,5
