character	SemRadical_Id_Cld	sem_trans	semN
登	181	0.132242923	2
逼	126	0.060964657	70
乘	148	0.049764231	8
插	127	0.078872808	221
守	162	0.05340967	42
翻	64	0.046058574	10
輸	88	0.062042735	27
煙	39	0.066584966	64
熊	39	0.042968178	64
勸	3	0.042590238	20
遇	126	0.065641946	70
趁	86	0.097000983	10
食	105	0.062870278	24
編	128	0.049399151	91
族	123	0.049705656	8
推	127	0.085935442	221
擠	127	0.076820119	221
雪	197	0.097044503	18
丟	145	0.063911234	12
艘	72	0.084493785	10
卡	6	0.04291271	4
土	10	0.055857399	67
寄	162	0.054740768	42
腰	122	0.070127256	75
田	51	0.077650468	21
防	129	0.051742657	46
覺	78	0.06223676	9
曰	168	0.039105243	9
貓	94	0.049706562	5
咬	9	0.061645554	224
題	103	0.0721568	32
嚇	9	0.067389103	224
順	103	0.057393475	32
喜	9	0.045852329	224
窮	184	0.073956681	17
配	91	0.042996261	20
語	80	0.063717978	80
德	24	0.062350527	21
摸	127	0.102045846	221
胃	122	0.056504998	75
絲	128	0.056915615	91
集	97	0.067658951	18
枚	33	0.065663524	136
親	78	0.060225438	9
跨	135	0.043913288	43
細	128	0.050217288	91
岸	18	0.070305413	17
針	96	0.056130032	79
燈	39	0.052906035	64
雲	197	0.065367208	18
葉	191	0.063144948	88
官	162	0.047793238	42
惡	133	0.068648444	109
響	102	0.037530051	3
棒	33	0.048231261	136
展	17	0.046852007	23
藍	191	0.058278075	88
龍	214	0.020561698	2
鬧	203	0.055165126	2
恨	133	0.084443015	109
挺	127	0.060562819	221
創	131	0.046516704	45
母	169	0.059065049	5
腦	122	0.057540755	75
挖	127	0.075520875	221
角	79	0.019751759	4
賞	84	0.045629297	45
景	31	0.051867421	44
幢	20	0.057902863	21
剩	131	0.062615599	45
舞	190	1	1
贏	84	0.066829247	45
化	4	0.018495985	3
駐	108	0.043488339	25
猜	139	0.057534838	26
招	127	0.04804829	221
藏	191	0.057153896	88
檔	33	0.043840436	136
騙	108	0.058904755	25
拜	127	0.050968471	221
眾	55	0.059697594	41
偏	124	0.050385919	134
拖	127	0.078683359	221
劍	131	0.070916034	45
師	20	0.057935607	21
踏	135	0.091656908	43
吸	9	0.069031065	224
餓	105	0.082938863	24
逢	126	0.066446471	70
增	10	0.049468025	67
壓	10	0.060258874	67
毛	37	0.131869738	2
捕	127	0.050340635	221
江	125	0.064129508	171
園	9	0.049858753	224
瞧	55	0.113486044	41
乾	149	0.065701854	7
計	80	0.05646541	80
退	126	0.070838555	70
哎	9	0.085627213	224
準	125	0.051550755	171
遊	126	0.053224088	70
現	43	0.041437487	18
明	31	0.047072861	44
弱	23	0.06807793	16
落	191	0.049879344	88
彈	23	0.053510641	16
挑	127	0.071180297	221
皮	54	0.051511316	3
鎮	96	0.044807353	79
獨	139	0.048281535	26
投	127	0.053624099	221
鬼	110	0.075209834	5
胸	122	0.072852706	75
耳	67	0.088734639	16
斷	29	0.070559442	7
港	125	0.054484123	171
星	31	0.066571979	44
混	125	0.05614874	171
妻	13	0.073240135	59
引	23	0.066716536	16
游	125	0.055633326	171
質	84	0.045988858	45
猛	139	0.051773134	26
補	140	0.036882042	33
唯	9	0.047132866	224
刊	131	0.057585835	45
尋	15	0.046091247	11
胖	122	0.064686416	75
偷	124	0.050919271	134
料	28	0.030876219	4
狼	139	0.053248011	26
民	171	0.097131858	2
敗	144	0.060639417	26
距	135	0.032349382	43
州	164	0.106927331	2
環	43	0.04214346	18
衝	194	0.059362493	6
費	84	0.07244537	45
暗	31	0.064253611	44
吐	9	0.061831633	224
甫	180	0.057405076	4
俄	124	0.052271332	134
鐵	96	0.059873546	79
抗	127	0.049097254	221
蛋	75	0.059460219	38
華	191	0.051275695	88
印	134	0.045409412	9
圍	9	0.056597142	224
兵	155	0.065825794	11
堂	10	0.05499175	67
吋	9	0.052021758	224
失	161	0.06939162	18
餐	105	0.067252701	24
遲	126	0.06391932	70
軟	88	0.041974161	27
勢	3	0.070273231	20
平	21	0.068671351	5
減	125	0.050042228	171
緊	128	0.040963915	91
穩	59	0.046414227	32
朵	33	0.063337374	136
乏	148	0.038324267	8
測	125	0.05126766	171
告	9	0.053479877	224
灰	39	0.047116244	64
永	125	0.048772872	171
炒	39	0.079695078	64
主	147	0.079392841	4
購	84	0.055621073	45
冊	156	0.059732642	4
周	9	0.050376807	224
哩	9	0.06561421	224
碼	58	0.048801282	38
查	33	0.04486555	136
娶	13	0.055371378	59
猶	139	0.070958486	26
繳	128	0.052059189	91
司	9	0.048386931	224
十	5	0.074296874	11
價	124	0.048852741	134
林	33	0.051181546	136
臨	69	0.04469464	3
返	126	0.073819713	70
父	173	0.068652938	4
嘿	9	0.080563463	224
滴	125	0.065666932	171
結	128	0.04724762	91
調	80	0.04859704	80
勿	158	0.043862319	6
肩	122	0.069423235	75
烤	39	0.068958	64
逃	126	0.070553466	70
餘	105	0.039199837	24
復	24	0.068896922	21
糧	61	0.075265971	18
捉	127	0.064811727	221
鴨	112	0.056067115	22
軍	88	0.053082686	27
驚	108	0.065830542	25
尤	16	0.041388236	2
顯	103	0.044983677	32
薄	191	0.050394111	88
枝	33	0.06262983	136
輪	88	0.057421238	27
瘦	141	0.064706346	31
足	135	0.056574677	43
奇	161	0.05357539	18
微	24	0.061163142	21
絕	128	0.047850837	91
率	178	1	1
竹	185	0.048424205	54
異	51	0.040610516	21
懷	133	0.057666798	109
哼	9	0.089810073	224
搬	127	0.082518135	221
趨	86	0.063899449	10
矮	57	0.065665536	6
君	9	0.052064296	224
姐	13	0.078971521	59
溪	125	0.061279978	171
福	136	0.078726888	21
夾	161	0.042447751	18
裏	140	0.070726515	33
布	20	0.061439201	21
瓷	49	0.038913703	5
禪	136	0.07339357	21
捐	127	0.0568858	221
繞	128	0.05830431	91
尾	17	0.058023828	23
熟	39	0.065669053	64
幕	20	0.068071422	21
逾	126	0.055380349	70
揚	127	0.057599715	221
噴	9	0.048664579	224
刺	131	0.075700544	45
恐	133	0.050247972	109
沙	125	0.059226394	171
粗	61	0.063624173	18
厚	8	0.037009787	7
卷	134	0.042649058	9
埋	10	0.062877978	67
降	129	0.049744825	46
抵	127	0.053312155	221
公	155	0.067954206	11
形	137	0.074508956	4
聚	67	0.071773354	16
附	129	0.049005493	46
爛	39	0.063238389	64
搖	127	0.089026987	221
拆	127	0.049708911	221
切	131	0.048520785	45
循	24	0.04130921	21
糖	61	0.064833183	18
巷	165	0.055785488	4
制	131	0.042959216	45
冰	143	0.077238539	9
冒	156	0.073118553	4
示	136	0.055331232	21
尺	17	0.048593325	23
員	9	0.048050665	224
牽	138	0.035950958	13
泡	125	0.06092012	171
廳	132	0.042090267	24
濃	125	0.057519161	171
伴	124	0.058802331	134
跌	135	0.043123285	43
役	24	0.062523149	21
聊	67	0.067341236	16
笨	185	0.053556142	54
囉	9	0.074255055	224
宮	162	0.058601966	42
歐	34	0.063345255	13
認	80	0.066049781	80
商	9	0.045451446	224
散	144	0.067230125	26
甜	71	0.127724556	3
青	98	0.04221893	4
劇	131	0.041526788	45
盛	182	0.045425784	15
畝	51	0.040648687	21
鐘	96	0.064455935	79
畔	51	0.043030309	21
職	67	0.0505542	16
折	127	0.053141998	221
握	127	0.082781207	221
湯	125	0.048959842	171
矣	57	0.061332076	6
粒	61	0.095805502	18
徵	24	0.045879109	21
售	9	0.048786082	224
緣	128	0.047535223	91
臭	188	0.046757978	2
墨	10	0.039045086	67
脫	122	0.042543633	75
避	126	0.06090587	70
疼	141	0.072012611	31
蟲	75	0.075008492	38
伊	124	0.04767488	134
攻	144	0.060170445	26
牌	41	0.084778378	3
殼	45	0.056026354	8
淡	125	0.050400059	171
摔	127	0.085855612	221
逛	126	0.062433643	70
靜	98	0.045273037	4
閉	196	0.063813647	23
飄	104	0.074368153	6
運	126	0.056240121	70
婚	13	0.060906722	59
思	133	0.068061083	109
淺	125	0.058042799	171
工	19	0.065136596	6
糟	61	0.048565153	18
顧	103	0.052133502	32
智	31	0.04601253	44
寶	162	0.039460257	42
木	33	0.055469754	136
肝	122	0.05919141	75
尊	15	0.053916614	11
王	43	0.061281684	18
麼	207	0.117965861	2
砍	58	0.041260327	38
閃	196	0.060025777	23
石	58	0.043120375	38
踢	135	0.092518653	43
抬	127	0.0867596	221
移	59	0.047228044	32
齣	120	0.053841968	3
鋪	96	0.060853061	79
象	122	0.052096266	75
鋼	96	0.053774267	79
餅	105	0.04756812	24
捧	127	0.091690915	221
撞	127	0.070601552	221
慘	133	0.061672582	109
壯	11	0.051159194	4
掌	127	0.052465801	221
稅	59	0.058672813	32
露	197	0.051298764	18
醒	91	0.076971229	20
夫	161	0.03404687	18
擦	127	0.071581847	221
戒	25	0.038614861	12
譜	80	0.055771826	80
保	124	0.050543755	134
吾	9	0.047428931	224
味	9	0.04851676	224
六	155	0.07501429	11
匹	159	0.047475636	9
忽	133	0.05154194	109
鍋	96	0.047900256	79
功	3	0.082945392	20
衣	140	0.055581437	33
己	165	0.054645121	4
嫁	13	0.067732658	59
莫	191	0.051305104	88
盼	55	0.055884374	41
兒	153	0.051753946	14
製	140	0.055648592	33
射	15	0.051321037	11
妙	13	0.048768377	59
添	125	0.046464346	171
兩	154	0.051460186	4
瞪	55	0.122021513	41
髒	109	0.035887241	4
韓	101	0.046126363	2
塗	10	0.055873062	67
踩	135	0.082724253	43
株	33	0.07071061	136
患	133	0.050972664	109
鍵	96	0.04544468	79
染	33	0.046483449	136
曲	168	0.042370152	9
迎	126	0.062781564	70
識	80	0.055969338	80
百	53	0.0408422	7
幾	130	0.017293564	4
農	224	0.062571007	3
傘	124	0.045100581	134
綁	128	0.057797936	91
程	59	0.038142794	32
鎖	96	0.053490044	79
野	93	0.03701669	4
安	162	0.06437271	42
蒙	191	0.052302699	88
透	126	0.064288962	70
財	84	0.057185018	45
寸	15	0.048537956	11
錶	96	0.049528515	79
嘆	9	0.069820811	224
呵	9	0.073494491	224
置	186	0.060843789	13
帳	20	0.039780367	21
琴	43	0.047289289	18
箱	185	0.052645631	54
備	124	0.054096256	134
遷	126	0.060413164	70
忍	133	0.069866903	109
兄	153	0.051653191	14
呎	9	0.044191888	224
宗	162	0.050953797	42
賠	84	0.063143782	45
怒	133	0.053680296	109
沾	125	0.06042263	171
撥	127	0.058333603	221
彎	23	0.062681664	16
義	63	0.07084605	9
雄	97	0.079465324	18
撐	127	0.080967583	221
巧	19	0.083838115	6
酸	91	0.08768746	20
罪	186	0.069656127	13
醫	91	0.042976586	20
鬥	203	0.055165126	2
築	185	0.047252736	54
嚴	9	0.0554386	224
填	10	0.055796374	67
毀	45	0.094587861	8
妹	13	0.059105383	59
壺	11	0.043691748	4
巢	217	1	1
闢	196	0.056870344	23
斜	28	0.033457021	4
席	20	0.060618139	21
探	127	0.067412864	221
祇	136	0.06205976	21
助	3	0.050241904	20
淚	125	0.053450011	171
玉	43	0.049370787	18
服	32	0.080486873	9
樁	33	0.051484252	136
奉	161	0.072659798	18
抹	127	0.06391573	221
醉	91	0.071670073	20
桶	33	0.054429833	136
乖	148	0.092012526	8
肥	122	0.057142047	75
冠	157	0.010436724	2
鬆	202	0.045691287	9
靈	197	0.047571188	18
滅	125	0.061526474	171
迷	126	0.061843068	70
哥	9	0.06698856	224
挨	127	0.066320403	221
銅	96	0.062875125	79
棄	33	0.048527959	136
私	59	0.050974945	32
齊	213	0.073797743	2
鹽	113	0.057157397	3
汗	125	0.06082228	171
箭	185	0.04766687	54
伸	124	0.049720889	134
罰	186	0.072071886	13
頻	103	0.05602179	32
格	33	0.048821937	136
精	61	0.041794627	18
痣	141	0.06149577	31
捲	127	0.066623039	221
消	125	0.054092402	171
滑	125	0.062406993	171
操	127	0.055052026	221
池	125	0.058017546	171
串	146	0.03299773	2
拔	127	0.070183632	221
洽	125	0.048068186	171
賽	84	0.050065744	45
喲	9	0.073188158	224
症	141	0.067742227	31
塞	10	0.062169519	67
貪	84	0.061334541	45
喂	9	0.081021026	224
濕	125	0.069052002	171
軸	88	0.052648597	27
閒	196	0.054701768	23
呆	9	0.050668178	224
兇	153	0.056607568	14
寒	162	0.053776572	42
霧	197	0.060229662	18
喘	9	0.056492916	224
塔	10	0.048472064	67
涼	125	0.066167532	171
弦	23	0.052253518	16
友	7	0.038126939	9
烈	39	0.04850287	64
井	151	0.058610024	7
牙	175	1	1
披	127	0.069858412	221
摘	127	0.055017807	221
剪	131	0.04591388	45
七	145	0.048059983	12
容	162	0.05446626	42
鏈	96	0.044688508	79
飽	105	0.071155552	24
祝	136	0.058183272	21
肺	122	0.052482493	75
托	127	0.048254608	221
盯	55	0.088211272	41
客	162	0.050339502	42
敲	144	0.076364595	26
怨	133	0.065179339	109
嚼	9	0.063096684	224
士	11	0.046122471	4
截	25	0.060635101	12
賜	84	0.050681842	45
互	151	0.067883378	7
耐	65	0.007410069	3
賊	84	0.046057821	45
禁	136	0.048113378	21
額	103	0.04971033	32
煩	39	0.053176004	64
擋	127	0.065221836	221
欠	34	0.064608931	13
巨	19	0.058732075	6
撿	127	0.072156736	221
險	129	0.036854167	46
惹	133	0.056004677	109
餵	105	0.069216029	24
繫	128	0.056276715	91
窄	184	0.050486911	17
拒	127	0.047239218	221
橫	33	0.049757424	136
准	143	0.044642204	9
拳	127	0.053054434	221
悶	133	0.057481894	109
揮	127	0.064498026	221
雌	97	0.082795034	18
續	128	0.049722239	91
撲	127	0.075267982	221
唷	9	0.069350445	224
術	194	0.044651249	6
桿	33	0.047317026	136
屢	17	0.036465092	23
掃	127	0.063368303	221
眉	55	0.059300608	41
吻	9	0.066280998	224
乎	148	0.047542424	8
敬	144	0.063603567	26
暫	31	0.051451014	44
碳	58	0.047156429	38
享	152	0.059018323	8
丈	145	0.033199285	12
辣	89	0.049084002	8
府	132	0.065227366	24
縱	128	0.043455814	91
攤	127	0.061868073	221
笙	185	0.055829493	54
儘	124	0.05245779	134
誤	80	0.038453425	80
蚊	75	0.050487837	38
